id,eps,codigo_cups,descripcion,tarifa
155,EMSSANAR_CAPITA,901102,COLORACION ACIDO ALCOHOL RESISTENTE MODIFICADA Y LECTURA. -- INCY : ISOSPORA BELLI - CRYPTOSPORIDIUM - ENTRE OTROS,
156,EMSSANAR_CAPITA,901104,COLORACION AZUL DE METILENO Y LECTURA PARA CUALQUIER MUESTRA,
157,EMSSANAR_CAPITA,901106,COLORACION GIEMSA Y LECTURA,
158,EMSSANAR_CAPITA,901107,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA. -- INCY : SECRECION VAGINAL - URETRAL O RECTAL,
159,EMSSANAR_CAPITA,901111,BACILOSCOPIA COLORACION ACIDO ALCOHOL RESISTENTE [ ZIELH-NEELSEN ] LECTURA SERIADA TRES MUESTRAS,
160,EMSSANAR_CAPITA,901210,CULTIVO ESPECIAL PARA OTROS MICROORGANISMOS EN CUALQUIER MUESTRA,
161,EMSSANAR_CAPITA,901230,MYCOBACTERIUM TUBERCULOSIS CULTIVO,
162,EMSSANAR_CAPITA,901235,UROCULTIVO ( ANTIBIOGRAMA DE DISCO ). -- INCY : RECUENTO DE COLONIAS - IDENTIFICACION DE GENERO O ESPECIE,
163,EMSSANAR_CAPITA,901304,EXAMEN DIRECTO FRESCO DE CUALQUIER MUESTRA. -- INCY : SECRECION NASAL - OCULAR - OTICA - VAGINAL - URETRAL O RECTAL,
164,EMSSANAR_CAPITA,901305,EXAMEN DIRECTO PARA HONGOS ( KOH ),
165,EMSSANAR_CAPITA,901325,EXAMEN DIRECTO DE CUALQUIER MUESTRA,
166,EMSSANAR_CAPITA,901326,LEISHMANIA EXAMEN DIRECTO,
167,EMSSANAR_CAPITA,902045,TIEMPO DE PROTROMBINA [ TP ],
168,EMSSANAR_CAPITA,902049,TIEMPO DE TROMBOPLASTINA PARCIAL [ TTP ],
169,EMSSANAR_CAPITA,902204,ERITROSEDIMENTACION [ VELOCIDAD SEDIMENTACION GLOBULAR - VSG ] MANUAL,
170,EMSSANAR_CAPITA,902207,HEMOGRAMA I ( HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA ) MANUAL,
171,EMSSANAR_CAPITA,902210,HEMOGRAMA IV ( HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA E HISTOGRAMA ) AUTOMATIZADO,
172,EMSSANAR_CAPITA,902211,HEMATOCRITO,
174,EMSSANAR_CAPITA,902214,HEMOPARASITOS EXTENDIDO DE GOTA GRUESA,
175,EMSSANAR_CAPITA,902215,HEMOPARASITOS EXTENDIDO DE SANGRE PERIFERICA,
176,EMSSANAR_CAPITA,902216,LEUCOGRAMA ( RECUENTO TOTAL Y DIFERENCIAL ),
