id,cups,procedimiento
161,892904,TECNICAS DE INSPECCION VISUAL CON ACIDO ACETICO Y LUGOL
162,893805,ESPIROMETRIA O CURVA DE FLUJO VOLUMEN PRE Y POST BRONCODILATADORES
163,893812,REGISTRO DE OXIMETRIA CUTANEA
164,895004,MONITOREO AMBULATORIO DE PRESION ARTERIAL SISTEMICA
165,895101,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE
166,896101,MONITOREO DE PRESION ARTERIAL SISTEMICA (TELEMETRIA)
167,897011,MONITORIA FETAL ANTEPARTO
168,897012,MONITORIA FETAL INTRAPARTO
169,898003,ESTUDIO ANATOMOPATOLOGICO BASICO EN CITOLOGIA POR ASPIRACION CON AGUJA FINA [ACAF] DE CUALQUIER TEJIDO U ORGANO
170,898015,ESTUDIO ANATOMOPATOLOGICO BASICO EN CITOLOGIA CERVICOVAGINAL MANUAL
171,901001,ANTIBIOGRAMA (DISCO)
172,901002,ERITROSEDIMENTACION [ VELOCIDAD SEDIMENTACION GLOBULAR - VSG ] MANUAL
173,901003,EXTENDIDO DE SANGRE PERIFERICA ESTUDIO DE MORFOLOGIA
174,901101,BACILOSCOPIA COLORACION ACIDO ALCOHOL-RESISTENTE [ZIEHL-NEELSEN]
175,901102,COLORACION ACIDO ALCOHOL RESISTENTE MODIFICADA Y LECTURA. -- INCY : ISOSPORA BELLI - CRYPTOSPORIDIUM - ENTRE OTROS
176,901104,COLORACION AZUL DE METILENO Y LECTURA PARA CUALQUIER MUESTRA
177,901106,COLORACION GIEMSA Y LECTURA
178,901107,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA
179,901111,BACILOSCOPIA COLORACION ACIDO ALCOHOL RESISTENTE [ZIELH-NEELSEN] LECTURA SERIADA TRES MUESTRAS
180,901206,HEMOPARASITOS EXTENDIDO DE SANGRE PERIFERICA
181,901210,CULTIVO ESPECIAL PARA OTROS MICROORGANISMOS EN CUALQUIER MUESTRA
182,901221,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ]
183,901222,RECUENTO DE PLAQUETAS AUTOMATIZADO
184,901230,MYCOBACTERIUM TUBERCULOSIS CULTIVO
185,901232,RECUENTO DE PLAQUETAS MANUAL
186,901235,UROCULTIVO (ANTIBIOGRAMA DE DISCO)
187,901236,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA AUTOMATIZADO)
188,901237,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA MANUAL)
189,901304,EXAMEN DIRECTO FRESCO DE CUALQUIER MUESTRA
190,901305,EXAMEN DIRECTO PARA HONGOS (KOH)
191,901321,STREPTOCOCCUS BETA HEMOLITICO GRUPO A (PRUEBA DIRECTA)
192,901325,EXAMEN DIRECTO DE CUALQUIER MUESTRA
193,901326,LEISHMANIA EXAMEN DIRECTO
194,902010,ACIDO URICO EN SUERO U OTROS FLUIDOS
195,902011,ACIDO URICO EN ORINA DE 24 HORAS
196,902041,ALBUMINA EN SUERO U OTROS FLUIDOS
197,902045,TIEMPO DE PROTROMBINA [TP]
198,902049,TIEMPO DE TROMBOPLASTINA PARCIAL [TTP]
199,902204,ERITROSEDIMENTACION [VELOCIDAD SEDIMENTACION GLOBULAR - VSG] MANUAL
200,902206,EXTENDIDO DE SANGRE PERIFERICA ESTUDIO DE MORFOLOGIA
201,902207,HEMOGRAMA I (HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA) MANUAL
202,902208,HEMOGRAMA II (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS E INDICES PLAQUETARIOS) SEMIAUTOMATIZADO
203,902209,HEMOGRAMA III (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA) AUTOMATIZADO
204,902210,HEMOGRAMA IV [HEMOGLOBINA. HEMATOCRITO. RECUENTO DE ERITROCITOS. INDICES ERITROCITARIOS. LEUCOGRAMA. RECUENTO DE PLAQUETAS. INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA E HISTOGRAMA] METODO AUTOMATICO+
205,902211,HEMATOCRITO
206,902213,HEMOGLOBINA
207,902214,HEMOPARASITOS EXTENDIDO DE GOTA GRUESA
208,902215,HEMOPARASITOS. EXTENDIDO DE SANGRE PERIFERICA *+
209,902216,LEUCOGRAMA (RECUENTO TOTAL Y DIFERENCIAL)
210,902217,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ]
211,902220,RECUENTO DE PLAQUETAS AUTOMATIZADO
212,902221,RECUENTO DE PLAQUETAS MANUAL
213,902223,RECUENTO DE RETICULOCITOS METODO MANUAL
214,902224,GLUCOSA CURVA DE TOLERANCIA. -- EXCY : 90. 3. 8. 84 - 90. 3. 8. 85 - 90. 3. 8. 86 - 90. 3. 8. 87 - 90. 3. 8. 88 - 90. 3. 8. 89 - 90. 3. 8. 90 - 90. 3. 8. 91 - 90. 3. 8. 92 - 90. 3. 8. 93 Y 90. 3. 8. 94
215,903026,MICROALBUMINURIA AUTOMATIZADA EN ORINA PARCIAL
216,903027,MICROALBUMINURIA AUTOMATIZADA EN ORINA DE 24 HORAS
217,903028,LIPASA
218,903426,HEMOGLOBINA GLICOSILADA AUTOMATIZADA
219,903427,HEMOGLOBINA GLICOSILADA MANUAL O SEMIAUTOMATIZADA
220,903801,ACIDO URICO EN SUERO U OTROS FLUIDOS
221,903802,ACIDO URICO EN ORINA DE 24 HORAS
222,903803,ALBUMINA EN SUERO U OTROS FLUIDOS
223,903804,TRANSAMINASA GLUTAMICO - PIRUVICA [ ALANINO AMINO TRANSFERASA ]
224,903805,AMILASA EN SUERO U OTROS FLUIDOS
225,903809,BILIRRUBINAS TOTAL Y DIRECTA
226,903810,CALCIO SEMIAUTOMATIZADO
227,903815,COLESTEROL DE ALTA DENSIDAD
228,903816,COLESTEROL DE BAJA DENSIDAD SEMIAUTOMATIZADO
229,903817,COLESTEROL DE BAJA DENSIDAD [LDL] AUTOMATIZADO
230,903818,COLESTEROL TOTAL
231,903822,CREATINA
232,903823,CREATININA DEPURACION
233,903824,CREATININA EN ORINA DE 24 HORAS
234,903826,CUERPOS CETONICOS O CETONAS EN ORINA
235,903828,DESHIDROGENASA LACTICA
236,903830,TOXOPLASMA GONDII ANTICUERPOS IG G AUTOMATIZADO
237,903833,FOSFATASA ALCALINA
238,903840,GLUCOSA EN ORINA
239,903841,GLUCOSA EN SUERO U OTRO FLUIDO DIFERENTE A ORINA
240,903842,GLUCOSA PRE Y POST CARGA DE GLUCOSA
241,903843,GLUCOSA PRE Y POST PRANDIAL
242,903844,GLUCOSA CURVA DE TOLERANCIA
243,903845,GLUCOSA TEST O’ SULLIVAN
244,903847,LIPASA
245,903856,NITROGENO UREICO
246,903857,NITROGENO UREICO [BUN] EN ORINA DE 24 H +
247,903859,POTASIO EN SUERO U OTROS FLUIDOS
248,903862,PROTEINAS EN ORINA DE 24 HORAS
249,903863,PROTEINAS TOTALES EN SUERO Y OTROS FLUIDOS
250,903864,SODIO EN SUERO U OTROS FLUIDOS
251,903866,TRANSAMINASA GLUTAMICO-PIRUVICA [ALANINO AMINO TRANSFERASA]
252,903867,TRANSAMINASA GLUTAMICO OXALACETICA [ASPARTATO AMINO TRANSFERASA]
253,903868,TRIGLICERIDOS
254,903869,UREA EN SANGRE U OTROS FLUIDOS
255,903876,CREATININA EN ORINA PARCIAL
256,903883,GLUCOSA SEMIAUTOMATIZADA [GLUCOMETRIA]
257,903895,CREATININA EN SUERO U OTROS FLUIDOS
258,904105,HORMONA FOLICULO ESTIMULANTE
259,904108,PROLACTINA
260,904508,GONADOTROPINA CORIONICA SUBUNIDAD BETA CUALITATIVA PRUEBA DE EMBARAZO EN ORINA O SUERO
261,904902,HORMONA ESTIMULANTE DEL TIROIDES
262,904903,HORMONA ESTIMULANTE DEL TIROIDES [TSH] NEONATAL
263,904921,TIROXINA LIBRE
264,904925,TRIYODOTIRONINA TOTAL
265,906039,TREPONEMA PALLIDUM ANTICUERPOS (PRUEBA TREPONEMICA) MANUAL O SEMIAUTOMATIZADA O AUTOMATIZADA
266,906127,TOXOPLASMA GONDII ANTICUERPOS IG G AUTOMATIZADO
267,906129,TOXOPLASMA GONDII ANTICUERPOS IG M AUTOMATIZADO
268,906205,CITOMEGALOVIRUS ANTICUERPOS IG G SEMIAUTOMATIZADO O AUTOMATIZADO
269,906206,CITOMEGALOVIRUS ANTICUERPOS IG M SEMIAUTOMATIZADO O AUTOMATIZADO
270,906207,DENGUE ANTICUERPOS IG G
271,906208,DENGUE ANTICUERPOS IG M
272,906212,HEPATITIS B. ANTIGENO E [AG HBE]
273,906214,HERPES SIMPLEX I Y II. ANTIGENOS
274,906218,HEPATITIS B ANTIGENO E [ AG HBE ] SEMIAUTOMATIZADO O AUTOMATIZADO
275,906220,SARS COV 2 [ COVID - 19 ] ANTIGENO
276,906221,PROTEINA C REACTIVA MANUAL O SEMIAUTOMATIZADO
277,906222,PRUEBA NO TREPONEMICA MANUAL
278,906223,COPROLOGICO
279,906241,RUBEOLA ANTICUERPOS IG G AUTOMATIZADO
280,906242,RUBEOLA ANTICUERPOS IG G SEMIAUTOMATIZADO
281,906243,RUBEOLA ANTICUERPOS IG M AUTOMATIZADO
282,906247,VARICELA ZOSTER ANTICUERPOS IG G SEMIAUTOMATIZADO O AUTOMATIZADO
283,906249,COPROLOGICO POR CONCENTRACION
284,906250,VIRUS DE INMUNODEFICIENCIA HUMANA PRUEBA CONFIRMATORIA
285,906270,COPROSCOPICO. -- INCY : PH - SANGRE OCULTA - AZUCARES REDUCTORES - ACTIVIDAD DE TRIPSINA Y PARASITOS
286,906271,FROTIS RECTAL ( IDENTIFICACION DE TROFOZOITOS )
287,906304,SANGRE OCULTA EN MATERIA FECAL [ GUAYACO O EQUIVALENTE ]
288,906317,SANGRE OCULTA EN MATERIA FECAL ( DETERMINACION DE HEMOGLOBINA HUMANA ESPECIFICA )
289,906318,UROANALISIS
290,906340,UROBILINOGENO EN ORINA PARCIAL
291,906610,ANTIGENO ESPECIFICO DE PROSTATA SEMIAUTOMATIZADO O AUTOMATIZADO
292,906911,FACTOR REUMATOIDEO MANUAL
293,906914,IDENTIFICACION DE OTRO VIRUS ( ESPECIFICA ) POR PRUEBAS MOLECULARES
294,906915,COOMBS DIRECTO FRACCIONADO MONOESPECIFICO ( INMUNOGLOBULINAS Y FRACCIONES DEL COMPLEMENTO ) POR MICROTECNICA
295,907001,AZUCARES REDUCTORES EN HECES
