id	cups	procedimiento								D	D				D
6611	R05CB0101	N-ACETILCISTEINA								10570	#N/A				10570
44	R05CA005701	Acetil sisteina								10568	#N/A				10568
6579	R03DC03	MONTELUKAST								10567	#N/A				10567
290	R03DA0501	AMINOFILINA								10566	#N/A				10566
9886	R03DA04011	Teofilina								10565	#N/A				10565
9887	R03DA0401	TEOFILINA								10563	#N/A				10563
9885	R03DA04	TEOFILINA								10562	#N/A				10562
9929	R03CC0304	Terbutalina								10555	#N/A				10555
9928	R03CC0303	Terbutalina								10551	#N/A				10551
9247	R03CC0203	SALBUTAMOL SOLUCION NEBULIZAR (VENTILAN)								10548	#N/A				10548
1306	R03BA02	BUDESONIDA								10546	#N/A				10546
1012	R03BA0102	BECLOMETASONA INHALADOR 50MCG								10544	#N/A				10544
1011	R03BA0101	BECLOMETASONA BUCAL								10543	#N/A				10543
6848	R03AL06	OLODATEROL 2.5MCG/BROMURO DE TIOTROPIO 2.5MCG								10541	#N/A				10541
1289	R03AL01	BROMURO DE IPRATROPIO/FENOTEROL BROMHIDRATRO								10536	#N/A				10536
4587	R03AK10	FLUTICASONA+VILANTEROL POLVO PARA INHALACION								10533	#N/A				10533
171	R03AK07	Aerovial								10532	#N/A				10532
4586	R03AK06	FLUTICASONA+SALMETEROL								10530	#N/A				10530
9930	R03AC0301	Terbutalina								10528	#N/A				10528
9246	R03AC0201	SALBUTAMOL INHALADOR								10525	#N/A				10525
9245	R03AC02	SALBUTAMOL								10523	#N/A				10523
4980	R03A	GUIA DE INTUBACION PEDIATRICA Nº10								10519	#N/A				10519
5876	R01AX0301	IPRATROPIO BROMURO								10518	#N/A				10518
4585	R01AD08	FLUTICASONA/VILANTEROL 100UG-25UG								10517	#N/A				10517
1013	R01AD0101	BECLOMETASONA NASAL								10515	#N/A				10515
2492	R01AC0102	CROMOGLICATO DE SODIO								10513	#N/A				10513
2495	R01AC0101	CROMOGLICATO DE SODIO AL 2%								10511	#N/A				10511
7088	R01AA0502	OXIMETAZOLINA 0.05%								10508	#N/A				10508
7087	R01AA05	OXIMETAZOLINA 0.025%								10505	#N/A				10505
4817	QM386	Gel conductor ultrasonido								10504	#N/A				10504
7137	Q8618S01	Paquete insercion de anticonceptivos subdermicos								10502	#N/A				10502
7140	Q7353S01	Paquete parto								10501	#N/A				10501
7132	Q0001128	PAQUETE CONCENTRADOR DE OXIGENO MEDICINAL ALTO FLUJO								10498	#N/A				10498
7136	Q0001127	PAQUETE DE OXIGENO MEDICINAL EN EQUIPO DE BAJO FLUJO								10497	#N/A				10497
7142	Q0000508	Paquete programa de atencion integral artritis rematoidea								10496	#N/A				10496
7417	PRE	PRESERVATIVOS								10495	#N/A				10495
1495	PCA1222	CATGUT CROMADO 5/0								10489	#N/A				10489
1015	P03AX0101	BENZOATO DE BENCILO								10488	#N/A				10488
4688	P03AC0A	Gamaderm								10485	#N/A				10485
5911	P02CF01	IVERMECTINA								10482	#N/A				10482
7264	P02CC0102	PIRANTEL								10480	#N/A				10480
7100	P02CC0101	PAMOATO DE PIRANTEL								10477	#N/A				10477
222	P02CA0302	ALBENDAZOL								10476	#N/A				10476
223	P02CA03	ALBENDAZOL								10474	#N/A				10474
6387	P02CA0102	MEBENDAZOL								10472	#N/A				10472
6388	P02CA0101	MEBENDAZOL								10471	#N/A				10471
4859	P01CB01	GLUCANTIME								10470	#N/A				10470
682	P01BF01	ARTEMETHER/LUMEFANTRINE								10469	#N/A				10469
7419	P01BA03	PRIMAQUINE PHOSPHATE								10467	#N/A				10467
5241	P01BA02	HIDROXICLOROQUINA								10466	#N/A				10466
1758	P01BA0104	CLOROQUINA								10465	#N/A				10465
6749	P01AX11	NITAZOXANIDA								10461	#N/A				10461
9315	P01AB07	SECNIDAZOL								10460	#N/A				10460
9970	P01AB0202	TINIDAZOL								10459	#N/A				10459
9971	P01AB0201	TINIDAZOL								10458	#N/A				10458
6480	P01AB01101	METRONIDAZOL								10457	#N/A				10457
6478	P01AB0103	METRONIDAZOL								10455	#N/A				10455
6477	P01AB0101	METRONIDAZOL								10454	#N/A				10454
2033	P0001620	Consulta de control oseguimiento medicina general por teleconsulta								10453	#N/A				10453
9759	P0001619	Teleconsulta por medicina general								10452	#N/A				10452
5344	P0001618	Identificacion de otro virus (especifica) por pruebas moleculares.								10451	#N/A				10451
10055	P0001246	TOMA MUESTRA PARA LABORATRIO CLINICO								10447	#N/A				10447
2042	P0001103	Consulta de primera vez por corneologo								10445	#N/A				10445
5134	P0000776	Hepatitis b - prueba rapida								10442	#N/A				10442
10738	P0000775	Vih - prueba rapida								10441	#N/A				10441
2093	P0000508	Consulta de primera vez por neuropsicologia								10440	#N/A				10440
9732	P0000450	Tamizaje de aneuploidias t13,t18,t21								10439	#N/A				10439
9085	P00001	Retiro de sutura en piel y/o tejido celular subcutaneo sod								10437	#N/A				10437
2597	P0000019	DEMANDA INDUCIDA CANALIZADOS ADOLESCENCIA								10434	#N/A				10434
2612	P0000018	DEMANDA INDUCIDA CANALIZADOS VEJEZ									#N/A				
2598	P0000017	DEMANDA INDUCIDA CANALIZADOS ADULTEZ									#N/A				
2604	P0000016	DEMANDA INDUCIDA CANALIZADOS INFANCIA									#N/A				
2609	P0000015	DEMANDA INDUCIDA CANALIZADOS VACUNACION PAI									#N/A				
2611	P0000014	DEMANDA INDUCIDA CANALIZADOS VALORACION DEL JOVEN									#N/A				
2610	P0000013	DEMANDA INDUCIDA CANALIZADOS VACUNACION PAI									#N/A				
2608	P0000012	DEMANDA INDUCIDA CANALIZADOS TOMA DE CITOLOGIA									#N/A				
2607	P0000011	DEMANDA INDUCIDA CANALIZADOS SALUD BUCAL									#N/A				
2606	P00000102	DEMANDA INDUCIDA CANALIZADOS PLANIFICACION FAMILIAR									#N/A				
2605	P0000010	DEMANDA INDUCIDA CANALIZADOS PLANIFICACION FAMILIAR									#N/A				
2603	P0000009	DEMANDA INDUCIDA CANALIZADOS CRECIMIENTO Y DESARROLLO									#N/A				
2601	P0000008	DEMANDA INDUCIDA CANALIZADOS CANCER DE SENO									#N/A				
2600	P0000003	DEMANDA INDUCIDA CANALIZADOS ALTERACIONES DE LA EMBARAZADA									#N/A				
2599	P00000015	DEMANDA INDUCIDA CANALIZADOS ALTERACIONES DE LA EMBARAZADA									#N/A				
2602	P00000011	DEMANDA INDUCIDA CANALIZADOS CRECIMIENTO Y DESARROLLO									#N/A				
7084	OXI003	Oxigeno 1 litro									#N/A				
1634	OXI002	Cilindro 6.5									#N/A				
7083	OXI001	Oxigeno 1 litro									#N/A				
7073	NO3AF02	OXCARBAZEPINA 300MG									#N/A				
9584	N-A02	SUCCIONADOR PORTATIL									#N/A				
10730	NA02	VICRIL 3.0									#N/A				
9564	N-A01	SONDA NELATON N? 22									#N/A				
6314	NA01	MANTA TERMICA									#N/A				
1006	N-A	BARRERA CUTANEA SPRAY 50ML NO IRRITANTE NO ESTERIL UNI BARRERA (ESENTA)									#N/A				
654	NA	Aplicadores									#N/A				
9145	N07XX02	RILUZOL 50MG									#N/A				
2898	N07CA9101	DIMENHIDRINATO									#N/A				
4574	N07CA03	FLUNARIZINA									#N/A				
1028	N07CA0102	BETAHISTINA									#N/A				
1027	N07CA0101	BETAHISTINA									#N/A				
1029	N07CA01	BETAHISTINA DICLORHIDRATO									#N/A				
1308	N07BA02	BUPROPION CLORHIDRATO									#N/A				
7265	N07AA02	PIRIDOSTIGMINA									#N/A				
6661	N07AA01	Neostigmina									#N/A				
6418	N06DX01	MEMANTINA									#N/A				
9163	N06DA03	RIVASTIGMINA (EXELON) -PARCHE 9 MG									#N/A				
3137	N06AX21	DULOXETINA									#N/A				
10699	N06AX16	Venlafaxina									#N/A				
6551	N06AX11	Mirtazapina									#N/A				
10348	N06AX0501	TRAZODONA									#N/A				
3647	N06AB10	ESCITALOPRAM									#N/A				
9357	N06AB0601	SERTRALINA									#N/A				
9358	N06AB06	SERTRALINA									#N/A				
7173	N06AB05	PAROXETINA									#N/A				
4583	N06AB0301	FLUOXETINA									#N/A				
4584	N06AB03	FLUOXETINA									#N/A				
294	N06AA0901	AMITRIPTILINA									#N/A				
5355	N06AA0201	IMIPRAMINA									#N/A				
5356	N06AA02	IMIPRAMINA									#N/A				
6415	N05CM17	MELATONINA									#N/A				
3902	N05CF04	ESZOPICLONA TABLETAS									#N/A				
10800	N05CF01	Zopiclona									#N/A				
6505	N05CD081	MIDAZOLAM 5MG/5ML									#N/A				
6504	N05CD08	MIDAZOLAM									#N/A				
5239	N05BB017	HIDROXICINA									#N/A				
5240	N05BB01	HIDROXICINA									#N/A				
266	N05BA1201	ALPRAZOLAM									#N/A				
1748	N05BA09	CLOBAZAN 10MG									#N/A				
6269	N05BA0601	LORAZEPAM									#N/A				
6270	N05BA06	LORAZEPAM									#N/A				
2838	N05BA0102	DIAZEPAM									#N/A				
673	N05AX12	Aripiprazol									#N/A				
9158	N05AX0805	RISPERIDONA									#N/A				
9159	N05AX0801	RISPERIDONA									#N/A				
