id,cups,procedimiento,ide
3076,12503,Drenaje de hematoma epidural fosa posterior. por craniectomia,246
7615,1251,Puncion ventricular,416
4895,125100,Goniotomia sod,6943
7614,1252,Puncion subdural,417
10146,125400,Trabeculotomia sod,5761
1554,125500,Ciclodialisis sod,5762
1421,125556,Cardik 160/5/12.5mg,11104
5437,125626506256,INDACATEROL+GLICOPIRRONIO,12292
5918,125631232,JERINGA ENFIT+TAPON NUTRICAIR,12379
5912,125896547,JERINGA DE 20 CC,10873
9182,125DDFG55,RUPATADINA,12140
5377,1261,Implantacion de marcapasos tipo cerebeloso,418
6771,1262,Nucleotomia percutanea,419
10142,126401,Trabeculectomia primaria,5763
10143,126402,Trabeculectomia secundaria,5764
9101,126601,Revision de ampolla filtrante (sinequiotomia),5765
9642,126602,Sutura de compresion de ampolla,6944
1636,126932,CILOSTAZOL 30MG,12324
9359,127,Servicio de ambulancia tuquerres,856
1552,127200,Ciclocrioterapia sod,5766
1556,127300,Ciclofotocoagulacion sod,5767
10144,127501,Trabeculoplastia con laser,5768
9662,128101,Sutura de la esclera (esclerorrafia),5769
8411,128200,Reparacion de fistula escleral (ampolla filtrante) sod,5770
8743,128401,Reseccion de tumor de la esclerotica. por diatermia o crioterapia,5771
8744,128403,Reseccion de tumor de la esclerotica. por laser,5772
8745,128405,Reseccion de tumor de la esclerotica. por via abierta,5773
7319,128800,Plastias en esclera (escleroplastia) ncoc,5774
7151,129101,Paracentesis terapeutica de camara anterior del ojo,5775
5786,129B01,INTERNACIÓN ADULTOS COMPLEJIDAD BAJA HABITACIÓN INDIVIDUAL (INCLUYE AISLAMIENTO),11833
5787,129B02,INTERNACIÓN ADULTOS COMPLEJIDAD BAJA HABITACION MÚLTIPLE,11418
5788,129B02H,INTERNACIÓN ADULTOS COMPLEJIDAD BAJA HABITACION MÚLTIPLE,11419
185,12AHI22,AGUJA HIPODERMICA 21G,11097
7479,12CC,PROLENE 6/0,11074
6343,130906,Mascara oxigeno con ventury,11435
3121,13100,Drenaje. curetaje. secuestrectomia. de escapula y clavicula,420
10793,1310000000A,Yodopovidona solucion,11072
10792,13100000A,YODOPOVIDONA ESPUMA,11071
3070,13101,Drenaje de espacio subdural. por craneotomia,247
3069,13102,Extraccion de depositoscalcaneos o bursa subdeltoideos o intratendinosos,248
2986,13103,Drenaje de espacio subdural en fosa posterior. por craniectomia,249
860,13104,Artrotomia con exploracion. drenaje. biopsia cuerpo extrano o sinovectomia. de articulacion glenohumeral (hombro),9025
861,13105,Artrotomia con exploracion. drenaje. biopsia y extraccion de cuerpo extrano. de articulacion acromioclavicular o externo clavicular,9026
3071,13106,Drenaje de espacio subdural. por derivacion subduro peritoneal,252
10483,1311,Uno o mas interespacios cervical. toraxica o lumbar. unilateral,9027
3068,13110,Extraccion cuerpo extrano de escapula o clavicula,253
4337,131100,Extraccion intracapsular de cristalino ncoc,2877
4148,13111,Extraccion cuerpo extrano de humero,9029
4342,13112,Extraccion no quirurgica de material de osteosintesis en hombro o brazo,9030
4370,13113,Extraccion quirurgica de material de osteosintesis en hombro o brazo,9031
7013,13120,Osteotomia en escapula o clavicula,9032
7019,13121,Osteotomia en humero,9033
5025,13122,Hemidiafisectomia en clavicula,9034
5030,13123,Hemidiafisectomia en humero,9035
1739,13124,Claviculectomia parcial o total,9036
10482,1313,Uno o mas interespacios cervical toraxica o lumbar. bilateral,9037
8836,13130,Reseccion extremo acromion,9038
8837,13131,Reseccion extremos clavicula,9039
8834,13132,Reseccion epicondilo o epitroclea,9040
5634,13140,Injerto oseo en clavicula,9041
5653,13141,Injerto oseo en humero,9042
9135,13142,Revision y/o reconstruccion de munon de amputacion hombro o brazo,9043
8968,13143,Reseccion tumor benigno huesos hombro,9044
8971,13144,Reseccion tumor benigno humero,9045
8996,13145,Reseccion tumor maligno huesos hombro,9046
8999,13146,Reseccion tumor maligno humero,9047
3542,13147,Escapulopexia,9048
122,13148,Acromioplastia,9049
3628,13149,Escision tumor benigno clavicula o escapula. sin injerto,9050
6496,1315,Microdiscoidectomia. uno o mas interespacios,9051
8141,13150,Reduccion cerrada fractura escapula,9052
8128,13151,Reduccion cerrada fractura clavicula,9053
8145,13152,Reduccion cerrada fractura humero,9054
8009,13160,Reduccion abierta fractura escapula,9055
10322,13161,Tratamiento fractura abierta de clavicula,9056
8015,13162,Reduccion abierta fractura humero,9057
6966,13170,Osteosintesis en clavicula,9058
6972,13171,Osteosintesis en humero,9059
342,13180,Amputacion intertoracoescapular,9060
336,13181,Amputacion del brazo,9061
2702,13182,Desarticulacion del hombro,9062
8292,13190,Reimplante de miembro superior a nivel del brazo,9063
3120,13200,Drenaje. curetaje. secuestrectomia. de cubito o radio,9064
9306,13201,Seccion de tejido cerebral y/o tractos cerebrales. por ablacion [termolesion] estereotaxica,255
9307,13202,Seccion de tejido cerebral y/o tractos cerebrales. por craneotomia,256
5961,1321,Laminectomia para mielotomia. tipo bischof. dorsal o lumbar,9065
4336,132100,Extraccion extracapsular de cristalino por tecnica lineal sod,5776
4341,13211,Extraccion no quirurgica de material de osteosintesis en antebrazo,9066
4369,13212,Extraccion quirurgica de material de osteosintesis en antebrazo,9067
5964,1322,Laminectomia para rizotomia. uno o dos segmentos,9068
6982,13220,Osteotomia de cubito o radio,2428
4335,132200,Extraccion extracapsular de cristalino por aspiracion sod,5777
5026,13221,Hemidiafisectomia en cubito o radio,9069
2123,1322332,Control biologico vapor (esterilizacion),11080
5963,1323,Laminectomia para rizotomia. mas de dos segmentos,9070
8880,13230,Reseccion olecranon,9071
4334,132300,Extraccion extracapsular de cristalino por facoemulsificacion sod,6945
8551,13231,Reseccion cabezas de radio,9072
4787,13232,GASA ESTERIL 50G 10X10,11079
8931,13233,Reseccion tercio distal cubito con artrodesis radio cubital distal,9074
5958,1324,Laminectomia para cordotomia. unilateral. en un tiempo. cervical o dorsal,9075
5640,13240,Injerto oseo en cubito o radio,9076
4332,132400,Extraccion extracapsular de cristalino en presencia de ampolla  filtrante previa sod,5778
4333,132401,Extraccion extracapsular de cristalino en presencia de ampolla  filtrante previa sod,5779
3508,13241,Epifisiodesis cubito y radio,9077
9133,13242,Revision y/o reconstruccion de munon de amputacion antebrazo,9078
8958,13243,Reseccion tumor benigno cubito o radio,9079
8988,13244,Reseccion tumor maligno cubito o radio,9080
5957,1325,Laminectomia para cordotomia. bilateral. en un tiempo. cervical o dorsal,9081
8129,13250,Reduccion cerrada fractura codo,9082
8135,13251,Reduccion cerrada fractura cubito o radio,9083
8136,13252,Reduccion cerrada fractura de colles,9084
1827,132565664,Colesterol hdl 2x50ml,11170
5956,1326,Laminectomia para cordotomia. bilateral. en dos tiempos. cervical o dorsal,9085
7998,13260,Reduccion abierta fractura codo,9086
8002,13261,Reduccion abierta fractura cubito y radio,9087
7989,13262,Reduccion abierta de luxacion radiocubital distal,9088
6967,13270,Osteosintesis en codo,9089
6968,13271,Osteosintesis en cubito o radio,9090
6969,13272,Osteosintesis en cubito y radio,9091
10323,13273,Tratamiento fractura de colles,9092
335,13280,Amputacion del antebrazo,9093
2701,13281,Desarticulacion del codo,8952
2694,13282,Desarticulacion de la muneca,8953
8291,13290,Reimplante de miembro superior a nivel del antebrazo,8954
3125,13300,Drenaje. curetaje. secuestrectomia. de pelvis,8955
4151,13310,Extraccion cuerpo extrano de pelvis,8956
4344,13311,Extraccion no quirurgica de material de osteosintesis pelvis,8957
4372,13312,Extraccion quirurgica de material de osteosintesis pelvis,8958
8662,1332,Reseccion de meningocele raquideo,8959
6997,13320,Osteotomia de pelvis,8960
8898,13321,Reseccion parcial del iliaco,8961
1747,13323232,CLOBAZAM 20MG,11099
8663,1334,Reseccion de meningomieloradiculocele,8962
5658,13340,Injerto oseo en pelvis,8963
9137,13341,Revision y/o reconstruccion de munon de amputacion pelvis,8964
8969,13342,Reseccion tumor benigno huesos pelvis,8965
